"Interest","Inflation","InflationChange","InterestChange"
1.13,0.4,-0.4,-0.88
0.25,0,-0.4,1.19
1.44,-0.4,-0.3,-0.94
0.5,-0.7,0.3,0.88
1.38,-0.4,-0.3,-0.13
1.25,-0.7,0,0.19
1.44,-0.7,0,0
1.44,-0.7,0,0
1.44,-0.7,0.3,0
1.44,-0.4,-0.3,0.25
1.69,-0.7,0,0
1.69,-0.7,0.3,0
1.69,-0.4,0,0
1.69,-0.4,0.8,0.31
2,0.4,0,0.19
2.19,0.4,0,0.0600000000000001
2.25,0.4,0,0.25
2.5,0.4,0,0
2.5,0.4,0,0
2.5,0.4,0,0
2.5,0.4,0.3,0
2.5,0.7,0.4,0.25
2.75,1.1,0.8,0
2.75,1.9,0.3,0
2.75,2.2,-0.3,-0.0600000000000001
2.69,1.9,0,0.31
3,1.9,0.3,0
3,2.2,0,0
3,2.2,0.8,0
3,3,0,0
3,3,0.4,0
3,3.4,0.3,0
3,3.7,0,0
3,3.7,0,0
3,3.7,-0.4,0
3,3.3,0,0
3,3.3,0.4,0
3,3.7,-0.4,0.5
3.5,3.3,-0.4,0
3.5,2.9,0.4,0
3.5,3.3,-0.4,-0.5
3,2.9,0.7,0
3,3.6,-0.4,-1.5
1.5,3.2,0.4,-1
0.5,3.6,0,-0.25
0.25,3.6,-0.4,0.5
0.75,3.2,-0.4,-0.62
0.13,2.8,-0.3,0.12
0.25,2.5,-0.4,0.75
1,2.1,0,0.75
1.75,2.1,0,-0.75
1,2.1,0,1
2,2.1,-0.3,0.38
2.38,1.8,-0.4,0
2.38,1.4,-0.4,0.12
2.5,1,-0.7,0
2.5,0.3,0,-0.25
2.25,0.3,0,0.75
3,0.3,0.4,0
3,0.7,0,-0.25
2.75,0.7,0.3,0.75
3.5,1,0.4,0
3.5,1.4,0.3,0.5
4,1.7,-0.3,0
4,1.4,0.3,0
4,1.7,-0.7,0
4,1,0.7,0
4,1.7,0,0
4,1.7,0,0
4,1.7,0,0
4,1.7,0,-2
2,1.7,-0.3,1.25
3.25,1.4,0,0.25
3.5,1.4,-0.4,-0.5
3,1,0.4,0
3,1.4,0,0
3,1.4,0,-1.5
1.5,1.4,0.3,1.5
3,1.7,-0.3,-0.25
2.75,1.4,0,-0.75
2,1.4,-0.4,0
2,1,0,-1.5
0.5,1,-0.3,1.5
2,0.7,0.7,-1.5
0.5,1.4,-0.4,1.25
1.75,1,0.4,-0.25
1.5,1.4,-0.7,0
1.5,0.7,0,1.25
2.75,0.7,0,-0.5
2.25,0.7,0,0.25
2.5,0.7,0.3,-0.25
2.25,1,0,0.25
2.5,1,0.3,0.25
2.75,1.3,0,-0.25
2.5,1.3,0,0.25
2.75,1.3,-0.3,0
2.75,1,0.3,0.25
3,1.3,0,0
3,1.3,0,0
3,1.3,0,0
3,1.3,0,-0.12
2.88,1.3,0,0.12
3,1.3,-0.3,0
3,1,0.3,0
3,1.3,-0.3,0
3,1,0,0
3,1,0.3,0
3,1.3,0,0
3,1.3,0,0.5
3.5,1.3,-0.3,0
3.5,1,0.3,0
3.5,1.3,0,0
3.5,1.3,0.3,0
3.5,1.6,0,-0.25
3.25,1.6,0,0.25
3.5,1.6,-0.3,0
3.5,1.3,0,0
3.5,1.3,0,0
3.5,1.3,0,0
3.5,1.3,0,0
3.5,1.3,-0.3,0
3.5,1,0.3,0
3.5,1.3,-0.3,0
3.5,1,0.3,0
3.5,1.3,-0.3,0.5
4,1,0,0
4,1,0,0
4,1,0.3,0
4,1.3,0.3,0.13
4.13,1.6,0,0
4.13,1.6,0.3,0
4.13,1.9,-0.3,0
4.13,1.6,0.3,0
4.13,1.9,-0.3,-0.38
3.75,1.6,0.3,0.38
4.13,1.9,-0.3,0
4.13,1.6,0.3,0
4.13,1.9,0,0.5
4.63,1.9,0.7,-0.38
4.25,2.6,0,0.38
4.63,2.6,0.3,0.12
4.75,2.9,0,-0.12
4.63,2.9,-0.4,-0.38
4.25,2.5,0.3,1.25
5.5,2.8,0.7,0.13
5.63,3.5,0,0.25
5.88,3.5,0.3,-0.13
5.75,3.8,0,0.25
6,3.8,-0.3,-0.5
5.5,3.5,0,-0.5
5,3.5,-0.7,-1
4,2.8,0,-0.25
3.75,2.8,-0.3,0.75
4.5,2.5,0.3,-0.5
4,2.8,0,0
4,2.8,0,-0.5
3.5,2.8,-0.4,0.25
3.75,2.4,0.4,0.25
4,2.8,-0.4,-0.25
3.75,2.4,0.3,0.38
4.13,2.7,0.3,0.37
4.5,3,0.6,0
4.5,3.6,0.4,0.25
4.75,4,-0.1,0
4.75,3.9,0,0.75
5.5,3.9,0,0.88
6.38,3.9,0.3,-0.25
6.13,4.2,0.3,0
6.13,4.5,0,-0.13
6,4.5,0,-0.25
5.75,4.5,0.2,0.25
6,4.7,0,0
6,4.7,0,0
6,4.7,-0.3,-2
4,4.4,0.3,2.38
6.38,4.7,0.5,0.62
7,5.2,0.3,-0.37
6.63,5.5,0,1.62
8.25,5.5,0,1.13
9.38,5.5,-0.0999999999999996,-0.630000000000001
8.75,5.4,0.3,0.75
9.5,5.7,0,0.25
9.75,5.7,0,-1.75
8,5.7,0.2,1
9,5.9,0.3,0.630000000000001
9.63,6.2,0,-4.63
5,6.2,-0.100000000000001,4.38
9.38,6.1,-0.3,-0.880000000000001
8.5,5.8,0.3,-0.5
8,6.1,-0.0999999999999996,0.630000000000001
8.63,6,0,-0.880000000000001
7.75,6,0,-0.75
7,6,-0.6,-0.25
6.75,5.4,0.3,0
6.75,5.7,-0.100000000000001,-0.25
6.5,5.6,0,-0.37
6.13,5.6,0,-0.5
5.63,5.6,-0.3,-2.63
3,5.3,-0.3,1.38
4.38,5,-0.3,-0.75
3.63,4.7,-0.5,0.37
4,4.2,0.2,0.25
4.25,4.4,0.199999999999999,0.5
4.75,4.6,-0.199999999999999,0.5
5.25,4.4,0.199999999999999,0.25
5.5,4.6,-0.5,0.25
5.75,4.1,-0.3,-0.37
5.38,3.8,-0.5,-0.25
5.13,3.3,0,-1.38
3.75,3.3,0,-0.75
3,3.3,0.2,0.25
3.25,3.5,0,0
3.25,3.5,0,0.75
4,3.5,-0.3,0.25
4.25,3.2,-0.5,0.19
4.44,2.7,0.2,0.0599999999999996
